Product,Month Start Date,Actual HC
Micro Plan GVA,2025-10,3
Micro Plan SDR Mid 2hr/day,2025-10,1
Micro Plan eCommerce,2025-10,1
Partner Executive Assistant,2025-10,1
Personal Assistant Part Time,2025-10,3
Personal Assistant Part Time Expert,2025-10,1
Real Estate Full Time Expert,2025-10,1
Real Estate Full Time Mid,2025-10,1
SDR FT Expert,2025-10,1
SDR Full Time Expert,2025-10,6
SDR Full Time Mid,2025-10,2
SDR Part Time,2025-10,5
SDR Part Time Expert,2025-10,4
SDR Part Time Mid,2025-10,9
Social Media FT,2025-10,1
Social Media Full Time,2025-10,3
Social Media Full Time Expert,2025-10,1
Social Media Full Time Mid,2025-10,1
Social Media PT,2025-10,2
Social Media Part Time,2025-10,2
Social Media Part Time Mid,2025-10,3
US-Based SDR Assistant 10 HRS Mid,2025-10,1
US-Based SDR Assistant Full Time Mid,2025-10,1
US-Based SDR Assistant PT Mid,2025-10,1
Web Developer,2025-10,1
Bilingual GVA - PT,2025-09,1
Bilingual Sales FT Mid,2025-09,1
Bilingual Sales PT Expert,2025-09,3
Bookkeeper FT,2025-09,3
Bookkeeper Full Time Expert,2025-09,2
Bookkeeper Full Time Mid,2025-09,4
Bookkeeper PT,2025-09,5
Bookkeeper PT Expert,2025-09,1
Bookkeeper PT Mid,2025-09,3
CRM Data Entry Assistant Full Time Mid,2025-09,3
CSR Bilingual Full Time,2025-09,1
CSR Bilingual Full Time Mid,2025-09,1
CSR Bilingual Part Time Mid,2025-09,1
CSR Full Time,2025-09,6
CSR Full Time Expert,2025-09,1
CSR Full Time Mid,2025-09,3
CSR Part Time,2025-09,1
CSR Part Time Mid,2025-09,1
Content Writer Part Time,2025-09,1
Customer Service FT,2025-09,2
Dedicated Receptionist 8H,2025-09,1
Dedicated SDR FT Mid,2025-09,1
Dedicated SDR Full Time,2025-09,10
Dedicated SDR Part Time,2025-09,5
Digital Marketing Assistant FT Expert,2025-09,2
Digital Marketing Assistant FT Mid,2025-09,4
Digital Marketing Assistant PT Expert,2025-09,1
Digital Marketing Assistant PT Mid,2025-09,5
Digital Marketing FT,2025-09,1
E-Commerce Assistant Full Time Expert,2025-09,1
EA Bilingual PT Mid,2025-09,1
Ecommerce Assistant PT,2025-09,1
Executive Assistant FT,2025-09,3
Executive Assistant Full Time,2025-09,10
Executive Assistant Full Time Expert,2025-09,3
Executive Assistant Full Time Mid,2025-09,7
Executive Assistant PT,2025-09,3
Executive Assistant Part Time,2025-09,3
Executive Assistant Part Time Expert,2025-09,2
Executive Assistant Part Time Mid,2025-09,2
GVA - FT,2025-09,4
GVA - PT,2025-09,4
GVA 40 Hours,2025-09,2
GVA Bilingual FT Mid,2025-09,2
General Virtual Assistant Full Time,2025-09,14
General Virtual Assistant Full Time Expert,2025-09,1
General Virtual Assistant Full Time Mid,2025-09,14
General Virtual Assistant Part Time,2025-09,15
General Virtual Assistant Part Time Mid,2025-09,6
Graphic Designer Full Time,2025-09,2
Graphic Designer Part Time Mid,2025-09,1
Healthcare Dedicated Receptionist - 8 hours,2025-09,3
Healthcare VA Full Time,2025-09,1
Human Resource Assistant FT,2025-09,2
Junior Front-End Developer Expert PT,2025-09,1
Junior Full Stack Developer Expert FT,2025-09,1
Lawyer Assistant PT,2025-09,2
Lead Gen Full Time,2025-09,1
Lead Gen Part Time,2025-09,1
Lead Generation Assistant (Full Time),2025-09,2
Lead Generation Assistant (Part Time),2025-09,2
Medical Scribe Part Time,2025-09,1
Micro Plan DMA Expert 2hr/day,2025-09,1
Micro Plan DMA Mid 2hr/day,2025-09,1
Micro Plan EA,2025-09,1
Micro Plan EA Mid 2hr/day,2025-09,1
Micro Plan GVA,2025-09,2
Micro Plan GVA Mid 2hr/day,2025-09,1
Micro Plan SDR,2025-09,1
Micro Plan SocMed,2025-09,3
Micro Plan eCommerce Expert 2hr/day,2025-09,1
Outbound Sales Agent Full Time,2025-09,2
Personal Assistant Full Time,2025-09,1
Personal Assistant Full Time Expert,2025-09,2
Personal Assistant Part Time,2025-09,1
Real Estate Full Time,2025-09,1
Real Estate Full Time Expert,2025-09,1
Real Estate Full Time Mid,2025-09,3
Recruitment PT,2025-09,1
SDR FT Expert,2025-09,2
SDR Full Time,2025-09,8
SDR Full Time Expert,2025-09,7
SDR Full Time Mid,2025-09,1
SDR Part Time,2025-09,4
SDR Part Time Mid,2025-09,10
Social Media FT,2025-09,1
Social Media Full Time,2025-09,1
Social Media PT,2025-09,2
Social Media Part Time,2025-09,3
Social Media Part Time Expert,2025-09,1
Social Media Part Time Mid,2025-09,1
US Executive Assistant PT,2025-09,1
US-Based Executive Assistant 10 HRS Expert,2025-09,1
US-Based Executive Assistant 10 HRS Mid,2025-09,1
US-Based Executive Assistant Full Time Expert,2025-09,1
US-Based General Virtual Assistant 10 HRS,2025-09,1
US-Based SDR Assistant PT,2025-09,1
US-Based Social Media Assistant PT Mid,2025-09,1
Web Developer,2025-09,2
Bilingual Sales FT Expert,2025-08,1
Bilingual Sales FT Mid,2025-08,1
Bilingual Sales PT Expert,2025-08,1
Bookkeeper FT,2025-08,1
Bookkeeper Full Time Expert,2025-08,2
Bookkeeper Full Time Mid,2025-08,1
Bookkeeper PT,2025-08,1
Bookkeeper PT Expert,2025-08,5
Bookkeeper PT Mid,2025-08,5
CRM Data Entry Assistant Full Time,2025-08,3
CSR Bilingual Full Time,2025-08,3
CSR Bilingual Part Time Mid,2025-08,2
CSR Full Time,2025-08,13
CSR Full Time Mid,2025-08,2
CSR Part Time,2025-08,1
CSR Part Time Expert,2025-08,1
CSR Part Time Mid,2025-08,1
Content Writer Part Time,2025-08,1
Dedicated SDR FT Mid,2025-08,3
Dedicated SDR Full Time,2025-08,9
Dedicated SDR Part Time,2025-08,8
Digital Marketing Assistant FT Expert,2025-08,3
Digital Marketing Assistant FT Mid,2025-08,2
Digital Marketing Assistant PT,2025-08,2
Digital Marketing Assistant PT Expert,2025-08,3
Digital Marketing Assistant PT Mid,2025-08,3
Digital Marketing PT,2025-08,1
E-Commerce Assistant Full Time Expert,2025-08,2
E-Commerce Assistant Part Time Mid Bilingual,2025-08,1
EA Bilingual FT,2025-08,1
EA Bilingual FT Expert,2025-08,1
EA Bilingual FT Mid,2025-08,2
EA Bilingual PT Mid,2025-08,3
Ecommerce Assistant PT,2025-08,2
Executive Assistant Full Time,2025-08,7
Executive Assistant Full Time Expert,2025-08,1
Executive Assistant Full Time Mid,2025-08,2
Executive Assistant Part Time,2025-08,8
Executive Assistant Part Time Mid,2025-08,4
GVA - FT,2025-08,2
GVA - PT,2025-08,1
GVA 20 Hours,2025-08,1
GVA Bilingual PT Mid,2025-08,1
General Virtual Assistant Full Time,2025-08,25
General Virtual Assistant Full Time Expert,2025-08,1
General Virtual Assistant Full Time Mid,2025-08,10
General Virtual Assistant Part Time,2025-08,14
General Virtual Assistant Part Time Mid,2025-08,3
Graphic Designer Full Time Expert,2025-08,1
Graphic Designer Full Time Mid,2025-08,1
Graphic Designer Part Time,2025-08,1
Healthcare Dedicated Receptionist - 8 hours,2025-08,1
Healthcare VA Full Time,2025-08,3
Healthcare VA Full Time Expert,2025-08,1
Healthcare VA Full Time Mid,2025-08,2
Healthcare VA Part Time,2025-08,2
Human Resource Assistant FT,2025-08,1
IT Helpdesk Full Time Support,2025-08,1
Junior Front-End Developer Mid FT,2025-08,1
Junior Full Stack Developer Expert PT,2025-08,1
Lawyer Assistant FT,2025-08,2
Lawyer Assistant FT Mid,2025-08,1
Lead Gen Full Time,2025-08,2
Lead Gen Full Time Mid,2025-08,1
Lead Gen Part Time,2025-08,1
Lead Generation Assistant (Full Time),2025-08,2
Lead Generation Assistant (Part Time),2025-08,5
Medical Scribe Full Time,2025-08,1
Micro Plan Bookkeeper Mid 2hr/day,2025-08,1
Micro Plan DMA,2025-08,2
Micro Plan GVA,2025-08,2
Real Estate PT,2025-08,1
Real Estate Part Time,2025-08,2
Recruitment Assistant PT,2025-08,1
SDR Full Time,2025-08,6
SDR Full Time Expert,2025-08,1
SDR Full Time Mid,2025-08,4
SDR Part Time,2025-08,5
SDR Part Time Expert,2025-08,3
SDR Part Time Mid,2025-08,7
Social Media FT,2025-08,2
Social Media Full Time,2025-08,3
Social Media Part Time,2025-08,4
Social Media Part Time Expert,2025-08,1
Social Media Part Time Mid,2025-08,1
US Executive Assistant PT,2025-08,1
US-Based CSR Assistant Full Time Mid,2025-08,1
US-Based SDR Assistant 10 HRS Expert,2025-08,1
US-Based SDR Assistant PT Mid,2025-08,1
Zapier & Integration 2HR,2025-08,1
Amazon Virtual Assistant Full Time,2025-07,1
Bilingual Sales FT Mid,2025-07,2
Bilingual Sales PT,2025-07,1
Bilingual Sales PT Expert,2025-07,1
Bilingual Sales PT Mid,2025-07,1
Bookkeeper FT,2025-07,1
Bookkeeper Full Time,2025-07,1
Bookkeeper Full Time Expert,2025-07,2
Bookkeeper Full Time Mid,2025-07,1
Bookkeeper PT,2025-07,1
Bookkeeper PT Expert,2025-07,1
Bookkeeper PT Mid,2025-07,2
CRM Data Entry Assistant Full Time,2025-07,4
CRM Data Entry Assistant Part Time,2025-07,1
CSR Bilingual Full Time,2025-07,3
CSR Full Time,2025-07,15
CSR Full Time Mid,2025-07,2
CSR Part Time,2025-07,3
Content Marketing PT,2025-07,1
Customer Service FT,2025-07,2
Dedicated Receptionist 8H,2025-07,1
Dedicated SDR - FT,2025-07,1
Dedicated SDR Full Time,2025-07,4
Dedicated SDR Part Time,2025-07,13
Digital Marketing Assistant FT Mid,2025-07,3
Digital Marketing Assistant PT,2025-07,2
Digital Marketing Assistant PT Expert,2025-07,2
Digital Marketing Assistant PT Mid,2025-07,4
Digital Marketing FT,2025-07,1
Digital Marketing PT,2025-07,3
E-Commerce Assistant Full Time Mid,2025-07,1
E-Commerce Assistant Part Time,2025-07,1
EA Bilingual FT Expert,2025-07,1
Ecommerce Assistant PT,2025-07,1
Executive Assistant Full Time,2025-07,4
Executive Assistant Full Time Expert,2025-07,1
Executive Assistant Full Time Mid,2025-07,3
Executive Assistant PT,2025-07,2
Executive Assistant Part Time,2025-07,8
Executive Assistant Part Time Expert,2025-07,1
Executive Assistant Part Time Mid,2025-07,3
GVA - FT,2025-07,5
GVA - PT,2025-07,2
GVA Bilingual FT,2025-07,1
GVA Bilingual FT Mid,2025-07,1
GVA Bilingual PT Mid,2025-07,1
General Virtual Assistant Full Time,2025-07,20
General Virtual Assistant Full Time Expert,2025-07,1
General Virtual Assistant Full Time Mid,2025-07,12
General Virtual Assistant Part Time,2025-07,18
General Virtual Assistant Part Time Expert,2025-07,2
General Virtual Assistant Part Time Mid,2025-07,4
Graphic Designer Full Time Expert,2025-07,1
Graphic Designer Part Time,2025-07,1
Healthcare Assistant Bilingual FT,2025-07,1
Healthcare Dedicated Receptionist - 8 hours,2025-07,10
Healthcare VA Full Time,2025-07,4
Healthcare VA Full Time Expert,2025-07,3
Healthcare VA Full Time Mid,2025-07,2
Healthcare VA Part Time,2025-07,2
Human Resource Assistant FT Expert,2025-07,1
Junior Front-End Developer Entry,2025-07,1
Junior Full Stack Developer Expert PT,2025-07,2
"Junior Python Developer (Complex, AI) Mid PT",2025-07,1
Lawyer Assistant FT,2025-07,1
Lawyer Assistant PT,2025-07,1
Lead Gen Full Time,2025-07,1
Lead Gen Full Time Expert,2025-07,2
Lead Gen Full Time Mid,2025-07,1
Lead Gen Part Time Expert,2025-07,1
Lead Gen Part Time Mid,2025-07,1
Lead Generation Assistant (Part Time),2025-07,6
Medical Scribe Full Time,2025-07,1
Micro Plan DMA,2025-07,6
Micro Plan GVA,2025-07,4
Micro Plan GVA Mid 2hr/day,2025-07,1
Micro Plan SDR,2025-07,2
Micro Plan SDR Expert 2hr/day,2025-07,1
Micro Plan eCommerce Mid 2hr/day,2025-07,1
Personal Assistant Part Time,2025-07,1
Real Estate Full Time,2025-07,1
Real Estate Full Time Mid,2025-07,1
Real Estate Part Time,2025-07,2
Recruitment Assistant Bilingual Full Time,2025-07,1
Recruitment Assistant PT Expert,2025-07,1
Recruitment Full Time,2025-07,1
SDR Full Time,2025-07,3
SDR Full Time Mid,2025-07,5
SDR Part Time,2025-07,1
SDR Part Time Expert,2025-07,2
SDR Part Time Mid,2025-07,8
Social Media FT,2025-07,1
Social Media Full Time,2025-07,2
Social Media Full Time Expert,2025-07,3
Social Media Full Time Mid,2025-07,2
Social Media Part Time,2025-07,1
US GVA PT,2025-07,1
US SDR  FT,2025-07,1
US SDR PT,2025-07,2
US-Based SDR Assistant 10 HRS Mid,2025-07,1
US-Based SDR Assistant Full Time Mid,2025-07,1
Web Developer,2025-07,1
Airbnb Assistant FT Expert,2025-06,1
Airbnb Assistant PT Expert,2025-06,1
Bilingual Caller FT,2025-06,1
Bilingual Sales FT,2025-06,5
Bilingual Sales FT Mid,2025-06,1
Bilingual Sales PT,2025-06,1
Bilingual Sales PT Mid,2025-06,1
"Bilingual, Spanish/English Sales Callers",2025-06,1
Bookkeeper FT,2025-06,1
Bookkeeper PT,2025-06,1
Bookkeeper PT Expert,2025-06,1
Bookkeeper PT Mid,2025-06,1
CRM Data Entry Assistant Full Time,2025-06,1
CRM Data Entry Assistant Full Time Mid,2025-06,1
CRM Data Entry Assistant Part Time,2025-06,1
CSR Bilingual Full Time,2025-06,1
CSR Bilingual Full Time Mid,2025-06,1
CSR Full Time,2025-06,9
CSR Full Time Mid,2025-06,2
CSR Part Time,2025-06,2
CSR Part Time Mid,2025-06,2
Customer Service FT,2025-06,2
Dedicated Receptionist 8H,2025-06,2
Dedicated Receptionist 8HR,2025-06,1
Dedicated SDR FT Mid,2025-06,1
Dedicated SDR Full Time,2025-06,11
Dedicated SDR Part Time,2025-06,4
Digital Marketing Assistant FT Expert,2025-06,1
Digital Marketing Assistant FT Mid,2025-06,3
Digital Marketing Assistant PT Expert,2025-06,2
Digital Marketing Assistant PT Mid,2025-06,5
Digital Marketing FT,2025-06,3
Digital Marketing PT,2025-06,7
E-Commerce Assistant Full Time,2025-06,4
E-Commerce Assistant Full Time Expert,2025-06,2
E-Commerce Assistant Full Time Mid,2025-06,2
EA Bilingual FT,2025-06,1
Executive Assistant FT,2025-06,1
Executive Assistant Full Time,2025-06,10
Executive Assistant Full Time Expert,2025-06,3
Executive Assistant Full Time Mid,2025-06,5
Executive Assistant PT,2025-06,2
Executive Assistant Part Time,2025-06,5
Executive Assistant Part Time Expert,2025-06,3
GVA - FT,2025-06,5
GVA - PT,2025-06,3
General Virtual Assistant Full Time,2025-06,38
General Virtual Assistant Full Time Expert,2025-06,3
General Virtual Assistant Full Time Mid,2025-06,5
General Virtual Assistant Part Time,2025-06,32
General Virtual Assistant Part Time Mid,2025-06,8
Graphic Designer FT,2025-06,1
Graphic Designer Full Time,2025-06,1
Graphic Designer Full Time Expert,2025-06,1
Graphic Designer Part Time,2025-06,1
Healthcare Assistant Bilingual FT,2025-06,1
Healthcare Dedicated Receptionist - 8 hours,2025-06,1
Healthcare VA Full Time,2025-06,2
Healthcare VA Full Time Expert,2025-06,3
Healthcare VA Part Time,2025-06,4
Healthcare VA Part Time Mid,2025-06,3
Human Resource Assistant FT Mid,2025-06,1
Human Resource Assistant PT,2025-06,1
IT Helpdesk Full Time Support,2025-06,2
Junior Automation/Integration/Zapier Developer PT,2025-06,1
Junior Front-End Developer PT,2025-06,1
Junior Full Stack Developer FT,2025-06,1
Junior Full Stack Developer Mid,2025-06,1
Junior iOS Developer Expert PT,2025-06,1
Lead Gen Full Time Expert,2025-06,3
Lead Gen Part Time Mid,2025-06,2
Lead Generation Assistant (Full Time),2025-06,1
Lead Generation Assistant (Part Time),2025-06,1
Micro Plan Bookkeeper Mid 2hr/day,2025-06,5
Micro Plan DMA,2025-06,2
Micro Plan EA Mid 2hr/day,2025-06,1
Micro Plan SDR,2025-06,1
Micro Plan SocMed,2025-06,1
Outbound Sales Agent Full Time,2025-06,2
Personal Assistant Part Time,2025-06,1
Real Estate Full Time,2025-06,1
Real Estate Part Time,2025-06,1
Recruitment Assistant Bilingual PT,2025-06,1
Recruitment Assistant PT Expert,2025-06,1
SDR FT Expert,2025-06,1
SDR Full Time,2025-06,5
SDR Full Time Expert,2025-06,6
SDR Full Time Mid,2025-06,7
SDR Part Time,2025-06,5
SDR Part Time Expert,2025-06,3
SDR Part Time Mid,2025-06,10
Social Media FT,2025-06,1
Social Media Full Time,2025-06,1
Social Media Full Time Mid,2025-06,3
Social Media Part Time,2025-06,2
US Executive Assistant PT,2025-06,1
US-Based General Virtual Assistant PT Mid,2025-06,2
US-Based SDR Assistant 10 HRS Mid,2025-06,2
US-Based SDR Assistant PT,2025-06,1
US-Based SDR Assistant PT Mid,2025-06,1
Airbnb Assistant FT,2025-05,3
Bilingual Sales FT,2025-05,2
Bilingual Sales FT Expert,2025-05,2
Bilingual Sales FT Mid,2025-05,1
"Bilingual, Spanish/English Sales Callers",2025-05,1
Bookkeeper FT,2025-05,2
Bookkeeper Full Time,2025-05,1
Bookkeeper Full Time Expert,2025-05,1
Bookkeeper PT,2025-05,1
Bookkeeper PT Expert,2025-05,2
